feature,importance
eggs_lag1,70
temp_avg_lag1,51
humidity_avg_lag1,47
precipitation_lag1,46
temp_min_lag1,40
eggs_lag4,38
eggs_per_hen_day_lag1,37
daylight_minutes_lag1,37
eggs_lag2,36
eggs_lag3,28
eggs_per_hen_day_lag2,24
feed_per_bird_day_kg_lag1,22
month,21
week_of_year,20
hens_mean,20
temp_max_lag1,20
hens_min,19
feed_kg_lag1,16
hens_max,11
roosters_mean,5
feed_per_hen_day_kg_lag1,4
event_days_lag1,3
year,1
n_days,0
event_death_lag1,0
event_released_lag1,0
event_added_lag1,0
event_feed_change_lag1,0
event_egg_anomaly_lag1,0
